text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Builder Floor Apartment   Sector 19   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 19,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2350-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-19-in-Chandigarh&id=4d423637333436333733
Builder Floor Apartment   Sector-35   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector-35,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-5000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-35-in-Chandigarh-r2&id=4d423634383432343637
Builder Floor Apartment   Sector 20   Furnished   Chandigarh   3.0   2.0   Rent,Builder Floor Apartment,Sector 20,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-20-in-Chandigarh&id=4d423637303930303437
Residential House   Sector 19   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Residential House,Sector 19,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-5000-Sq-ft-Residential-House-FOR-Rent-Sector-19-in-Chandigarh&id=4d423637303839383735
Builder Floor Apartment   Sector-34   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector-34,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-4000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-34-in-Chandigarh&id=4d423636393531353937
Builder Floor Apartment   Sector 18   Unfurnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 18,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-5000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-18-in-Chandigarh-r3&id=4d423633333234333433
Residential House   Sector-44   Semi-Furnished   Chandigarh   2.0   2.0   Rent,Residential House,Sector-44,Semi-Furnished,Chandigarh,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-2000-Sq-ft-Residential-House-FOR-Rent-Sector-44-in-Chandigarh-r6&id=4d423539343130383335
Builder Floor Apartment   Sector 33A   Furnished   Chandigarh   3.0   4.0   Rent,Builder Floor Apartment,Sector 33A,Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-33A-in-Chandigarh&id=4d423637353735393835
Builder Floor Apartment   Sector 18   Semi-Furnished   Chandigarh   2.0   2.0   Rent,Builder Floor Apartment,Sector 18,Semi-Furnished,Chandigarh,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-2000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-18-in-Chandigarh&id=4d423637333436333537
Builder Floor Apartment   Sector 18   Unfurnished   Chandigarh   3.0   2.0   Rent,Builder Floor Apartment,Sector 18,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-18-in-Chandigarh-r3&id=4d423633363031363139
Villa   Sector 21D   Unfurnished   Chandigarh   4.0   4.0   Rent,Villa,Sector 21D,Unfurnished,Chandigarh,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-4500-Sq-ft-Villa-FOR-Rent-Sector-21D-in-Chandigarh-r2&id=4d423536373432343639
Residential House   Sector 36   Unfurnished   Chandigarh   3.0   4.0   Rent,Residential House,Sector 36,Unfurnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1-Kanal-Residential-House-FOR-Rent-Sector-36-in-Chandigarh&id=4d423637353736303135
Builder Floor Apartment   Sector 20   Semi-Furnished   Chandigarh   3.0   3.0   Rent,Builder Floor Apartment,Sector 20,Semi-Furnished,Chandigarh,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-20-in-Chandigarh&id=4d423637303930313235
Builder Floor Apartment   Sector 20   Semi-Furnished   Chandigarh   4.0   4.0   Rent,Builder Floor Apartment,Sector 20,Semi-Furnished,Chandigarh,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-2-Kanal-Builder-Floor-Apartment-FOR-Rent-Sector-20-in-Chandigarh&id=4d423637333436333139
