text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Villa   Naya Raipur   Unfurnished   Raipur   5.0   4.0   Rent,Villa,Naya Raipur,Unfurnished,Raipur,Rent,5.0,https://www.magicbricks.com/propertyDetails/5-BHK-4646-Sq-ft-Villa-FOR-Rent-Naya-Raipur-in-Raipur&id=4d423633323731353437
Penthouse   Shankar Nagar   Semi-Furnished   Raipur   2.0   2.0   Rent,Penthouse,Shankar Nagar,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Penthouse-FOR-Rent-Shankar-Nagar-in-Raipur&id=4d423333373737333433
Residential House   Mahaveer Nagar   Semi-Furnished   Raipur   1.0   1.0   Rent,Residential House,Mahaveer Nagar,Semi-Furnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-100-Sq-ft-Residential-House-FOR-Rent-Mahaveer-Nagar-in-Raipur&id=4d423636393630353931
Villa   DDU Nagar   Unfurnished   Raipur   8.0   8.0   Rent,Villa,DDU Nagar,Unfurnished,Raipur,Rent,8.0,https://www.magicbricks.com/propertyDetails/8-BHK-5200-Sq-ft-Villa-FOR-Rent-DDU-Nagar-in-Raipur-r3&id=4d423232353230333437
Residential House   Naya Raipur   Unfurnished   Raipur   2.0   2.0   Rent,Residential House,Naya Raipur,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Residential-House-FOR-Rent-Naya-Raipur-in-Raipur&id=4d423534373036313733
Residential House   Tagore Nagar   Unfurnished   Raipur   5.0   5.0   Rent,Residential House,Tagore Nagar,Unfurnished,Raipur,Rent,5.0,https://www.magicbricks.com/propertyDetails/5-BHK-5000-Sq-ft-Residential-House-FOR-Rent-Tagore-Nagar-in-Raipur&id=4d423637343033373639
Residential House   Avanti Vihar   Unfurnished   Raipur   3.0   2.0   Rent,Residential House,Avanti Vihar,Unfurnished,Raipur,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Residential-House-FOR-Rent-Avanti-Vihar-in-Raipur&id=4d423636373233303333
Multistorey Apartment   Hirapur Colony   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Hirapur Colony,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-960-Sq-ft-Multistorey-Apartment-FOR-Rent-Hirapur-Colony-in-Raipur&id=4d423636383232393037
Multistorey Apartment   Kabir Nagar   Semi-Furnished   Raipur   1.0   1.0   Rent,Multistorey Apartment,Kabir Nagar,Semi-Furnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-529-Sq-ft-Multistorey-Apartment-FOR-Rent-Kabir-Nagar-in-Raipur&id=4d423633333032323833
Residential House   Amlidhi   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Amlidhi,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Residential-House-FOR-Rent-Amlidhi-in-Raipur&id=4d423637313634313139
Residential House   Kabir Nagar   Unfurnished   Raipur   2.0   2.0   Rent,Residential House,Kabir Nagar,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Kabir-Nagar-in-Raipur&id=4d423637333331323231
Multistorey Apartment   Amlidhi   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Amlidhi,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Amlidhi-in-Raipur&id=4d423636393038333131
Builder Floor Apartment   Dhebar City   Semi-Furnished   Raipur   1.0   1.0   Rent,Builder Floor Apartment,Dhebar City,Semi-Furnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Dhebar-City-in-Raipur&id=4d423637313033303435
Residential House   Raipur Junction Railway Station   Semi-Furnished   Raipur   1.0   1.0   Rent,Residential House,Raipur Junction Railway Station,Semi-Furnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Residential-House-FOR-Rent-Raipur-Junction-Railway-Station-in-Raipur&id=4d423636393039303333
Residential House   Avanti Vihar   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Avanti Vihar,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Avanti-Vihar-in-Raipur&id=4d423438363432333035
Residential House   Mahaveer Nagar   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Mahaveer Nagar,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Residential-House-FOR-Rent-Mahaveer-Nagar-in-Raipur&id=4d423636303136383931
Multistorey Apartment   Missing   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Missing,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Raipur&id=4d423335383632373739
Multistorey Apartment   Gondwara Basti   Semi-Furnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Gondwara Basti,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-880-Sq-ft-Multistorey-Apartment-FOR-Rent-Gondwara-Basti-in-Raipur&id=4d423637343031393435
Residential House   DDU Nagar   Unfurnished   Raipur   1.0   1.0   Rent,Residential House,DDU Nagar,Unfurnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1200-Sq-ft-Residential-House-FOR-Rent-DDU-Nagar-in-Raipur&id=4d423630363433303839
Multistorey Apartment   Hirapur   Furnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Hirapur,Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-Hirapur-in-Raipur&id=4d423637323835393835
Residential House   Kota   Semi-Furnished   Raipur   3.0   3.0   Rent,Residential House,Kota,Semi-Furnished,Raipur,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Residential-House-FOR-Rent-Kota-in-Raipur&id=4d423438393435323831
Villa   Mathpurena   Semi-Furnished   Raipur   2.0   2.0   Rent,Villa,Mathpurena,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Villa-FOR-Rent-Mathpurena-in-Raipur&id=4d423636363432353533
Residential House   Missing   Furnished   Raipur   4.0   3.0   Rent,Residential House,Missing,Furnished,Raipur,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-1300-Sq-ft-Residential-House-FOR-Rent-in-Raipur&id=4d423438383935363733
Multistorey Apartment   Gondwara Basti   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Gondwara Basti,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-862-Sq-ft-Multistorey-Apartment-FOR-Rent-Gondwara-Basti-in-Raipur&id=4d423635303035343135
Multistorey Apartment   Mowa   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Mowa,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Mowa-in-Raipur&id=4d423632363035343331
Multistorey Apartment   Vidhan Sabha Road   Unfurnished   Raipur   3.0   3.0   Rent,Multistorey Apartment,Vidhan Sabha Road,Unfurnished,Raipur,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1630-Sq-ft-Multistorey-Apartment-FOR-Rent-Vidhan-Sabha-Road-in-Raipur&id=4d423635373135373335
Multistorey Apartment   Bhatagaon   Unfurnished   Raipur   2.0   2.0   Rent,Multistorey Apartment,Bhatagaon,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhatagaon-in-Raipur&id=4d423633333238303133
Residential House   Mowa   Unfurnished   Raipur   2.0   2.0   Rent,Residential House,Mowa,Unfurnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-2016-Sq-ft-Residential-House-FOR-Rent-Mowa-in-Raipur&id=4d423636383438383931
Residential House   Ashwani Nagar   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Ashwani Nagar,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Residential-House-FOR-Rent-Ashwani-Nagar-in-Raipur&id=4d423636363433313535
Residential House   Missing   Furnished   Raipur   2.0   1.0   Rent,Residential House,Missing,Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Residential-House-FOR-Rent-in-Raipur&id=4d423636373531303633
Residential House   Adarsh Nagar   Unfurnished   Raipur   1.0   1.0   Rent,Residential House,Adarsh Nagar,Unfurnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-300-Sq-ft-Residential-House-FOR-Rent-Adarsh-Nagar-in-Raipur&id=4d423636393130313833
Multistorey Apartment   Devendra Nagar   Unfurnished   Raipur   1.0   1.0   Rent,Multistorey Apartment,Devendra Nagar,Unfurnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Devendra-Nagar-in-Raipur&id=4d423431313330303333
Residential House   Sejbahar   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Sejbahar,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Residential-House-FOR-Rent-Sejbahar-in-Raipur&id=4d423637303530363037
Residential House   Kota   Unfurnished   Raipur   1.0   1.0   Rent,Residential House,Kota,Unfurnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Residential-House-FOR-Rent-Kota-in-Raipur&id=4d423631343735383431
Builder Floor Apartment   Devendra Nagar   Furnished   Raipur   2.0   2.0   Rent,Builder Floor Apartment,Devendra Nagar,Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1850-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Devendra-Nagar-in-Raipur&id=4d423530373231363532
Villa   Anupam Nagar   Semi-Furnished   Raipur   7.0   Missing   Rent,Villa,Anupam Nagar,Semi-Furnished,Raipur,Rent,7.0,https://www.magicbricks.com/propertyDetails/7-BHK-4500-Sq-ft-Villa-FOR-Rent-Anupam-Nagar-in-Raipur&id=4d423431323130343635
Multistorey Apartment   Nagoa   Furnished   Goa   1.0   1.0   Rent,Multistorey Apartment,Nagoa,Furnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-60-Sq-m-Multistorey-Apartment-FOR-Rent-Nagao-in-Goa&id=4d423636333534303935
Villa   Sangolda   Unfurnished   Goa   3.0   2.0   Rent,Villa,Sangolda,Unfurnished,Goa,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-8417-Sq-ft-Villa-FOR-Rent-Sangolda-in-Goa&id=4d423138393230363538
Multistorey Apartment   Corlim   Unfurnished   Goa   3.0   2.0   Rent,Multistorey Apartment,Corlim,Unfurnished,Goa,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1302-Sq-ft-Multistorey-Apartment-FOR-Rent-Corlim-in-Goa&id=4d423634353331363537
Multistorey Apartment   Margao   Missing   Goa   2.0   Missing   Rent,Multistorey Apartment,Margao,Missing,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-82-Sq-m-Multistorey-Apartment-FOR-Rent-Margao-in-Goa&id=4d423637303733323035
Residential House   Corlim   Semi-Furnished   Goa   1.0   2.0   Rent,Residential House,Corlim,Semi-Furnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-625-Sq-ft-Residential-House-FOR-Rent-Corlim-in-Goa&id=4d423635363333383331
Residential House   Missing   Semi-Furnished   Raipur   2.0   2.0   Rent,Residential House,Missing,Semi-Furnished,Raipur,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-in-Raipur&id=4d423331323934333939
Multistorey Apartment   Missing   Unfurnished   Raipur   1.0   1.0   Rent,Multistorey Apartment,Missing,Unfurnished,Raipur,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-360-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Raipur&id=4d423635343436313735
Villa   Parra   Unfurnished   Goa   4.0   4.0   Rent,Villa,Parra,Unfurnished,Goa,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-5100-Sq-ft-Villa-FOR-Rent-Parra-in-Goa&id=4d423331303234353335
Multistorey Apartment   Missing   Unfurnished   Goa   2.0   1.0   Rent,Multistorey Apartment,Missing,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-99-Sq-m-Multistorey-Apartment-FOR-Rent-in-Goa&id=4d423637333136303233
Multistorey Apartment   Margao   Unfurnished   Goa   3.0   2.0   Rent,Multistorey Apartment,Margao,Unfurnished,Goa,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-109-Sq-m-Multistorey-Apartment-FOR-Rent-Margao-in-Goa&id=4d423430303335383537
Builder Floor Apartment   Mapusa   Unfurnished   Goa   1.0   1.0   Rent,Builder Floor Apartment,Mapusa,Unfurnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Mapusa-in-Goa&id=4d423534303939313835
Multistorey Apartment   Missing   Semi-Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Missing,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Goa&id=4d423637303038323039
Residential House   Betalbatim   Unfurnished   Goa   2.0   4.0   Rent,Residential House,Betalbatim,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Residential-House-FOR-Rent-Betalbatim-in-Goa&id=4d423533383638373133
Villa   Mangoor   Unfurnished   Goa   2.0   2.0   Rent,Villa,Mangoor,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Villa-FOR-Rent-Mangoor-in-Goa&id=4d423534323231343039
Multistorey Apartment   Missing   Unfurnished   Goa   2.0   1.0   Rent,Multistorey Apartment,Missing,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-991-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Goa&id=4d423536343630343733
Multistorey Apartment   Varca   Furnished   Goa   1.0   1.0   Rent,Multistorey Apartment,Varca,Furnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-630-Sq-ft-Multistorey-Apartment-FOR-Rent-Varca-in-Goa&id=4d423637333230343833
Residential House   Margao   Furnished   Goa   4.0   3.0   Rent,Residential House,Margao,Furnished,Goa,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-207-Sq-m-Residential-House-FOR-Rent-Margao-in-Goa&id=4d423631333634373639
Multistorey Apartment   Miramar   Semi-Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Miramar,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1280-Sq-ft-Multistorey-Apartment-FOR-Rent-Miramar-in-Goa&id=4d423637303134383333
Residential House   Colva   Furnished   Goa   4.0   3.0   Rent,Residential House,Colva,Furnished,Goa,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-150-Sq-m-Residential-House-FOR-Rent-Colva-in-Goa&id=4d423437303033333839
Villa   Missing   Semi-Furnished   Goa   3.0   3.0   Rent,Villa,Missing,Semi-Furnished,Goa,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Villa-FOR-Rent-in-Goa&id=4d423636363632313039
Multistorey Apartment   Parra   Semi-Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Parra,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-780-Sq-ft-Multistorey-Apartment-FOR-Rent-Parra-in-Goa&id=4d423635363534373633
Multistorey Apartment   Dona Paula   Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Dona Paula,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-143-Sq-m-Multistorey-Apartment-FOR-Rent-Dona-Paula-in-Goa&id=4d423637323633363133
Residential House   Kadamba Plateau   Unfurnished   Goa   3.0   3.0   Rent,Residential House,Kadamba Plateau,Unfurnished,Goa,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-112-Sq-m-Residential-House-FOR-Rent-Kadamba-Plateau-in-Goa&id=4d423636373730343137
Residential House   Palolem   Furnished   Goa   2.0   1.0   Rent,Residential House,Palolem,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1150-Sq-ft-Residential-House-FOR-Rent-Palolem-in-Goa&id=4d423632383334353939
Villa   Vidya Nagar   Unfurnished   Goa   2.0   1.0   Rent,Villa,Vidya Nagar,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Villa-FOR-Rent-Vidya-Nagar-in-Goa&id=4d423635333533343233
Multistorey Apartment   Porvorim   Semi-Furnished   Goa   1.0   1.0   Rent,Multistorey Apartment,Porvorim,Semi-Furnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-65-Sq-m-Multistorey-Apartment-FOR-Rent-Porvorim-in-Goa&id=4d423536313334353031
Residential House   Marcel   Unfurnished   Goa   1.0   1.0   Rent,Residential House,Marcel,Unfurnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Residential-House-FOR-Rent-Marcel-in-Goa&id=4d423636363831353933
Builder Floor Apartment   Margaon   Semi-Furnished   Goa   2.0   1.0   Rent,Builder Floor Apartment,Margaon,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-880-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Margaon-in-Goa&id=4d423637303030303333
Studio Apartment   Calangute   Furnished   Goa   Missing   1.0   Rent,Studio Apartment,Calangute,Furnished,Goa,Rent,Missing,https://www.magicbricks.com/propertyDetails/550-Sq-ft-Studio-Apartment-FOR-Rent-Calangute-in-Goa&id=4d423637333037333237
Multistorey Apartment   Porvorim   Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Porvorim,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1110-Sq-ft-Multistorey-Apartment-FOR-Rent-Porvorim-in-Goa&id=4d423636373739303035
Residential House   Taleigao   Semi-Furnished   Goa   1.0   1.0   Rent,Residential House,Taleigao,Semi-Furnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-65-Sq-m-Residential-House-FOR-Rent-Taleigao-in-Goa&id=4d423539383330393931
Residential House   Missing   Semi-Furnished   Goa   2.0   1.0   Rent,Residential House,Missing,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-110-Sq-ft-Residential-House-FOR-Rent-in-Goa&id=4d423635313139393531
Multistorey Apartment   New Vaddem   Semi-Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,New Vaddem,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Vaddem-in-Goa&id=4d423637313239323831
Multistorey Apartment   Corlim   Unfurnished   Goa   1.0   1.0   Rent,Multistorey Apartment,Corlim,Unfurnished,Goa,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1184-Sq-ft-Multistorey-Apartment-FOR-Rent-Corlim-in-Goa&id=4d423637313935313233
Studio Apartment   Mapusa   Unfurnished   Goa   Missing   1.0   Rent,Studio Apartment,Mapusa,Unfurnished,Goa,Rent,Missing,https://www.magicbricks.com/propertyDetails/256-Sq-ft-Studio-Apartment-FOR-Rent-Mapusa-in-Goa&id=4d423636363832383735
Multistorey Apartment   Missing   Unfurnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Missing,Unfurnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Goa&id=4d423530343839303738
Multistorey Apartment   Colva   Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Colva,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-124-Sq-m-Multistorey-Apartment-FOR-Rent-Colva-in-Goa&id=4d423636383737313735
Residential House   Mapusa   Semi-Furnished   Goa   2.0   2.0   Rent,Residential House,Mapusa,Semi-Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-100-Sq-ft-Residential-House-FOR-Rent-Mapusa-in-Goa&id=4d423637343234383131
Multistorey Apartment   Missing   Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Missing,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-840-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Goa&id=4d423530313639333236
Studio Apartment   Missing   Unfurnished   Goa   Missing   1.0   Rent,Studio Apartment,Missing,Unfurnished,Goa,Rent,Missing,https://www.magicbricks.com/propertyDetails/430-Sq-ft-Studio-Apartment-FOR-Rent-in-Goa&id=4d423636393336343331
Multistorey Apartment   Caranzalem   Furnished   Goa   2.0   2.0   Rent,Multistorey Apartment,Caranzalem,Furnished,Goa,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-96-Sq-m-Multistorey-Apartment-FOR-Rent-Caranzalem-in-Goa&id=4d423637313331353833
Residential House   Missing   Semi-Furnished   Patna   2.0   2.0   Rent,Residential House,Missing,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Residential-House-FOR-Rent-in-Patna&id=4d423637383230363437
Multistorey Apartment   Missing   Unfurnished   Patna   3.0   2.0   Rent,Multistorey Apartment,Missing,Unfurnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Patna&id=4d423637383132353233
Multistorey Apartment   Nehru Nagar   Semi-Furnished   Patna   1.0   1.0   Rent,Multistorey Apartment,Nehru Nagar,Semi-Furnished,Patna,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Nehru-Nagar-in-Patna&id=4d423637383235343531
Multistorey Apartment   Missing   Unfurnished   Patna   3.0   2.0   Rent,Multistorey Apartment,Missing,Unfurnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1375-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Patna&id=4d423637383235323935
Multistorey Apartment   Shekhpura   Semi-Furnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Shekhpura,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Shekhpura-in-Patna&id=4d423637383132343137
Residential House   Kankarbagh   Furnished   Patna   3.0   1.0   Rent,Residential House,Kankarbagh,Furnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-600-Sq-ft-Residential-House-FOR-Rent-Kankarbagh-in-Patna&id=4d423637373139323539
Residential House   Patel Nagar   Unfurnished   Patna   2.0   2.0   Rent,Residential House,Patel Nagar,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Patel-Nagar-in-Patna&id=4d423637323036383133
Residential House   Kumhrar   Semi-Furnished   Patna   4.0   2.0   Rent,Residential House,Kumhrar,Semi-Furnished,Patna,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-1300-Sq-ft-Residential-House-FOR-Rent-Kumhrar-in-Patna&id=4d423636323633323339
Builder Floor Apartment   Missing   Unfurnished   Patna   1.0   1.0   Rent,Builder Floor Apartment,Missing,Unfurnished,Patna,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-Patna&id=4d423436363734323439
Builder Floor Apartment   Rupaspur   Semi-Furnished   Patna   2.0   1.0   Rent,Builder Floor Apartment,Rupaspur,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Rupaspur-in-Patna&id=4d423630393534313933
Builder Floor Apartment   Boring Canal Road   Unfurnished   Patna   6.0   6.0   Rent,Builder Floor Apartment,Boring Canal Road,Unfurnished,Patna,Rent,6.0,https://www.magicbricks.com/propertyDetails/6-BHK-3500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Boring-Canal-Road-in-Patna&id=4d423637343737373131
Multistorey Apartment   Chhoti Pahari   Unfurnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Chhoti Pahari,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1036-Sq-ft-Multistorey-Apartment-FOR-Rent-Chhoti-Pahari-in-Patna&id=4d423636373734323037
Residential House   Khemni Chak   Unfurnished   Patna   2.0   1.0   Rent,Residential House,Khemni Chak,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Residential-House-FOR-Rent-Khemni-Chak-in-Patna&id=4d423534333837363137
Residential House   Sandalpur   Unfurnished   Patna   3.0   2.0   Rent,Residential House,Sandalpur,Unfurnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Sandalpur-in-Patna&id=4d423532363638333739
Residential House   Patliputra Kurji Road   Unfurnished   Patna   2.0   2.0   Rent,Residential House,Patliputra Kurji Road,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Residential-House-FOR-Rent-Patliputra-Kurji-Road-in-Patna&id=4d423432353435303737
Residential House   Missing   Semi-Furnished   Patna   2.0   1.0   Rent,Residential House,Missing,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Residential-House-FOR-Rent-in-Patna&id=4d423637353532393439
Multistorey Apartment   Rajeev Nagar   Semi-Furnished   Patna   3.0   3.0   Rent,Multistorey Apartment,Rajeev Nagar,Semi-Furnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1545-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajeev-Nagar-in-Patna&id=4d423435383533343337
Builder Floor Apartment   Anisabad   Unfurnished   Patna   3.0   2.0   Rent,Builder Floor Apartment,Anisabad,Unfurnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Anisabad-in-Patna&id=4d423535323236373735
